to,from,p_value
OTU_19,OTU_21,0.99
OTU_20,OTU_21,0.99
OTU_21,OTU_21,0
OTU_22,OTU_21,0.99
OTU_23,OTU_21,0.99
OTU_24,OTU_21,0.99
OTU_25,OTU_21,0.99
OTU_26,OTU_21,0.99
OTU_27,OTU_21,0.99
OTU_28,OTU_21,0.99
OTU_29,OTU_21,0.99
OTU_30,OTU_21,0.99
OTU_31,OTU_21,0.99
OTU_32,OTU_21,0.99
OTU_33,OTU_21,0.99
OTU_34,OTU_21,0.99
OTU_35,OTU_21,0.99
OTU_36,OTU_21,0.99
OTU_37,OTU_21,0.99
OTU_38,OTU_21,0.99
OTU_39,OTU_21,0.99
OTU_40,OTU_21,0.99
OTU_41,OTU_21,0.99
OTU_42,OTU_21,0.99
OTU_43,OTU_21,0.99
OTU_44,OTU_21,0.11798829553767375
OTU_45,OTU_21,0.99
OTU_46,OTU_21,0.11798829553767375
OTU_47,OTU_21,0.99
OTU_48,OTU_21,0.99
OTU_49,OTU_21,0.99
OTU_50,OTU_21,0.99
OTU_51,OTU_21,0.99
OTU_52,OTU_21,0.99
OTU_53,OTU_21,0.99
OTU_54,OTU_21,0.99
OTU_55,OTU_21,0.99
OTU_56,OTU_21,0.99
OTU_57,OTU_21,0.99
OTU_58,OTU_21,0.99
OTU_59,OTU_21,0.99
OTU_60,OTU_21,0.99
OTU_61,OTU_21,0.99
OTU_62,OTU_21,0.99
OTU_63,OTU_21,0.99
OTU_64,OTU_21,0.99
OTU_65,OTU_21,0.99
OTU_66,OTU_21,0.6818271488961953
OTU_67,OTU_21,0.99
OTU_68,OTU_21,0.99
OTU_69,OTU_21,0.99
OTU_70,OTU_21,0.99
OTU_71,OTU_21,0.99
OTU_72,OTU_21,0.99
OTU_73,OTU_21,0.99
OTU_74,OTU_21,0.99
OTU_75,OTU_21,0.99
OTU_76,OTU_21,0
OTU_77,OTU_21,0.99
OTU_78,OTU_21,0.99
OTU_79,OTU_21,0.99
OTU_80,OTU_21,0.99
OTU_81,OTU_21,0.99
OTU_82,OTU_21,0.99
OTU_83,OTU_21,0.8197712833545108
OTU_84,OTU_21,0.99
OTU_85,OTU_21,0.99
OTU_86,OTU_21,0.99
OTU_87,OTU_21,0.99
OTU_88,OTU_21,0.99
OTU_89,OTU_21,0.99
OTU_90,OTU_21,0.30072715972653824
OTU_91,OTU_21,0.99
OTU_92,OTU_21,0.99
OTU_93,OTU_21,0.99
OTU_94,OTU_21,0.99
OTU_95,OTU_21,0.99
OTU_96,OTU_21,0.99
OTU_97,OTU_21,0.99
OTU_98,OTU_21,0.99
OTU_99,OTU_21,0.99
OTU_100,OTU_21,0.99
OTU_101,OTU_21,0.99
OTU_102,OTU_21,0.99
OTU_103,OTU_21,0.6260650169820475
OTU_104,OTU_21,0.8197712833545108
OTU_105,OTU_21,0.99
OTU_106,OTU_21,0.99
OTU_107,OTU_21,0.99
OTU_108,OTU_21,0.99
OTU_109,OTU_21,0.99
OTU_110,OTU_21,0.99
OTU_111,OTU_21,0.99
OTU_112,OTU_21,0.99
OTU_113,OTU_21,0.99
OTU_114,OTU_21,0.99
OTU_115,OTU_21,0.99
OTU_116,OTU_21,0
OTU_117,OTU_21,0.99
OTU_118,OTU_21,0.99
OTU_119,OTU_21,0.99
OTU_120,OTU_21,0.8526921512810085
OTU_121,OTU_21,0.99
OTU_122,OTU_21,0.99
OTU_123,OTU_21,0.99
OTU_124,OTU_21,0.99
OTU_125,OTU_21,0.99
OTU_126,OTU_21,0.99
OTU_127,OTU_21,0.99
OTU_1,OTU_22,0.99
OTU_2,OTU_22,0.99
OTU_3,OTU_22,0.99
OTU_4,OTU_22,0.99
OTU_5,OTU_22,0
OTU_6,OTU_22,0.99
OTU_7,OTU_22,0.99
OTU_8,OTU_22,0.99
OTU_9,OTU_22,0.99
OTU_10,OTU_22,0.99
OTU_11,OTU_22,0.99
OTU_12,OTU_22,0.99
OTU_13,OTU_22,0.99
OTU_14,OTU_22,0.99
OTU_15,OTU_22,0.99
OTU_16,OTU_22,0.99
OTU_17,OTU_22,0.99
OTU_18,OTU_22,0.99
OTU_19,OTU_22,0.9554387263976305
OTU_20,OTU_22,0.99
OTU_21,OTU_22,0.99
OTU_22,OTU_22,0
OTU_23,OTU_22,0.99
OTU_24,OTU_22,0.99
OTU_25,OTU_22,0.99
OTU_26,OTU_22,0.99
OTU_27,OTU_22,0.99
OTU_28,OTU_22,0.99
OTU_29,OTU_22,0.99
OTU_30,OTU_22,0.99
OTU_31,OTU_22,0.99
OTU_32,OTU_22,0.99
OTU_33,OTU_22,0.99
OTU_34,OTU_22,0.37883734586024664
OTU_35,OTU_22,0.99
OTU_36,OTU_22,0.99
OTU_37,OTU_22,0.99
OTU_38,OTU_22,0.99
OTU_39,OTU_22,0.99
OTU_40,OTU_22,0.99
OTU_41,OTU_22,0.99
OTU_42,OTU_22,0.99
OTU_43,OTU_22,0.99
OTU_44,OTU_22,0
OTU_45,OTU_22,0.99
OTU_46,OTU_22,0
OTU_47,OTU_22,0.99
OTU_48,OTU_22,0.99
OTU_49,OTU_22,0.99
OTU_50,OTU_22,0.5205701990317374
OTU_51,OTU_22,0.99
OTU_52,OTU_22,0.99
OTU_53,OTU_22,0.99
OTU_54,OTU_22,0.99
OTU_55,OTU_22,0.99
OTU_56,OTU_22,0.99
OTU_57,OTU_22,0.99
OTU_58,OTU_22,0.99
OTU_59,OTU_22,0.99
OTU_60,OTU_22,0.37883734586024664
OTU_61,OTU_22,0.99
OTU_62,OTU_22,0.99
OTU_63,OTU_22,0.99
OTU_64,OTU_22,0.99
OTU_65,OTU_22,0.6260650169820475
OTU_66,OTU_22,0.99
OTU_67,OTU_22,0.99
OTU_68,OTU_22,0.99
OTU_69,OTU_22,0.99
OTU_70,OTU_22,0.99
OTU_71,OTU_22,0.99
OTU_72,OTU_22,0.99
OTU_73,OTU_22,0.99
OTU_74,OTU_22,0.99
OTU_75,OTU_22,0.99
OTU_76,OTU_22,0
OTU_77,OTU_22,0.99
OTU_78,OTU_22,0.99
OTU_79,OTU_22,0.99
OTU_80,OTU_22,0.99
OTU_81,OTU_22,0.99
OTU_82,OTU_22,0.99
OTU_83,OTU_22,0.99
OTU_84,OTU_22,0.99
OTU_85,OTU_22,0.99
OTU_86,OTU_22,0.99
OTU_87,OTU_22,0.99
OTU_88,OTU_22,0.99
OTU_89,OTU_22,0.99
OTU_90,OTU_22,0
OTU_91,OTU_22,0.99
OTU_92,OTU_22,0.99
OTU_93,OTU_22,0.99
OTU_94,OTU_22,0.99
OTU_95,OTU_22,0.99
OTU_96,OTU_22,0.99
OTU_97,OTU_22,0.99
OTU_98,OTU_22,0.99
OTU_99,OTU_22,0.99
OTU_100,OTU_22,0.99
OTU_101,OTU_22,0.99
OTU_102,OTU_22,0.8526921512810085
OTU_103,OTU_22,0.30072715972653824
OTU_104,OTU_22,0.99
OTU_105,OTU_22,0.99
OTU_106,OTU_22,0.99
OTU_107,OTU_22,0.99
OTU_108,OTU_22,0.99
OTU_109,OTU_22,0.99
OTU_110,OTU_22,0.99
OTU_111,OTU_22,0.99
OTU_112,OTU_22,0.99
OTU_113,OTU_22,0.99
OTU_114,OTU_22,0.99
OTU_115,OTU_22,0.99
OTU_116,OTU_22,0
OTU_117,OTU_22,0.99
OTU_118,OTU_22,0.99
OTU_119,OTU_22,0.99
OTU_120,OTU_22,0.99
OTU_121,OTU_22,0.99
OTU_122,OTU_22,0.99
OTU_123,OTU_22,0.99
OTU_124,OTU_22,0.99
OTU_125,OTU_22,0.99
OTU_126,OTU_22,0.99
OTU_127,OTU_22,0.99
OTU_1,OTU_23,0.99
OTU_2,OTU_23,0.99
OTU_3,OTU_23,0.99
OTU_4,OTU_23,0.99
OTU_5,OTU_23,0
OTU_6,OTU_23,0.99
OTU_7,OTU_23,0.99
OTU_8,OTU_23,0.9803110475509476
OTU_9,OTU_23,0.99
OTU_10,OTU_23,0.99
OTU_11,OTU_23,0.99
OTU_12,OTU_23,0.99
OTU_13,OTU_23,0.99
OTU_14,OTU_23,0.99
OTU_15,OTU_23,0.99
OTU_16,OTU_23,0.99
OTU_17,OTU_23,0.99
OTU_18,OTU_23,0.99
OTU_19,OTU_23,0.6260650169820475
OTU_20,OTU_23,0.99
OTU_21,OTU_23,0.99
OTU_22,OTU_23,0.99
OTU_23,OTU_23,0
OTU_24,OTU_23,0.99
OTU_25,OTU_23,0.99
OTU_26,OTU_23,0.99
OTU_27,OTU_23,0.99
OTU_28,OTU_23,0.99
OTU_29,OTU_23,0.99
OTU_30,OTU_23,0.99
OTU_31,OTU_23,0.99
OTU_32,OTU_23,0.99
OTU_33,OTU_23,0.884473168820995
OTU_34,OTU_23,0.11798829553767375
OTU_35,OTU_23,0.99
OTU_36,OTU_23,0.99
OTU_37,OTU_23,0.99
OTU_38,OTU_23,0.99
OTU_39,OTU_23,0.99
OTU_40,OTU_23,0.99
OTU_41,OTU_23,0.99
OTU_42,OTU_23,0.8526921512810085
OTU_43,OTU_23,0.99
OTU_44,OTU_23,0
OTU_45,OTU_23,0.99
OTU_46,OTU_23,0
OTU_47,OTU_23,0.99
OTU_48,OTU_23,0.99
OTU_49,OTU_23,0.99
OTU_50,OTU_23,0
OTU_51,OTU_23,0.99
OTU_52,OTU_23,0.99
OTU_53,OTU_23,0.99
OTU_54,OTU_23,0.99
OTU_55,OTU_23,0.99
OTU_56,OTU_23,0.99
OTU_57,OTU_23,0.99
OTU_58,OTU_23,0.99
OTU_59,OTU_23,0.99
OTU_60,OTU_23,0
OTU_61,OTU_23,0.99
OTU_62,OTU_23,0.99
OTU_63,OTU_23,0.99
OTU_64,OTU_23,0.99
OTU_65,OTU_23,0.45485053581500284
OTU_66,OTU_23,0.99
OTU_67,OTU_23,0.99
OTU_68,OTU_23,0.99
OTU_69,OTU_23,0.99
OTU_70,OTU_23,0.99
OTU_71,OTU_23,0.99
OTU_72,OTU_23,0.99
OTU_73,OTU_23,0.99
OTU_74,OTU_23,0.99
OTU_75,OTU_23,0.99
OTU_76,OTU_23,0
OTU_77,OTU_23,0.99
OTU_78,OTU_23,0.99
OTU_79,OTU_23,0.99
OTU_80,OTU_23,0.99
OTU_81,OTU_23,0.99
OTU_82,OTU_23,0.6260650169820475
OTU_83,OTU_23,0.99
OTU_84,OTU_23,0.30072715972653824
OTU_85,OTU_23,0.99
OTU_86,OTU_23,0.99
OTU_87,OTU_23,0.99
OTU_88,OTU_23,0.99
OTU_89,OTU_23,0.99
OTU_90,OTU_23,0
OTU_91,OTU_23,0.99
OTU_92,OTU_23,0.99
OTU_93,OTU_23,0.99
OTU_94,OTU_23,0.99
OTU_95,OTU_23,0.99
OTU_96,OTU_23,0.99
OTU_97,OTU_23,0.99
OTU_98,OTU_23,0.99
OTU_99,OTU_23,0.99
OTU_100,OTU_23,0.99
OTU_101,OTU_23,0.99
OTU_102,OTU_23,0.99
OTU_103,OTU_23,0
OTU_104,OTU_23,0.99
OTU_105,OTU_23,0.99
OTU_106,OTU_23,0.99
OTU_107,OTU_23,0.99
OTU_108,OTU_23,0.99
OTU_109,OTU_23,0.99
OTU_110,OTU_23,0.99
OTU_111,OTU_23,0.99
OTU_112,OTU_23,0.99
OTU_113,OTU_23,0.99
OTU_114,OTU_23,0.99
OTU_115,OTU_23,0.99
OTU_116,OTU_23,0
OTU_117,OTU_23,0.99
OTU_118,OTU_23,0.99
OTU_119,OTU_23,0.99
OTU_120,OTU_23,0.99
OTU_121,OTU_23,0.99
OTU_122,OTU_23,0.99
OTU_123,OTU_23,0.99
OTU_124,OTU_23,0.99
OTU_125,OTU_23,0.99
OTU_126,OTU_23,0.99
OTU_127,OTU_23,0.99
OTU_1,OTU_24,0.99
OTU_2,OTU_24,0.99
OTU_3,OTU_24,0.99
OTU_4,OTU_24,0.99
OTU_5,OTU_24,0
OTU_6,OTU_24,0.99
OTU_7,OTU_24,0.99
OTU_8,OTU_24,0.99
OTU_9,OTU_24,0.99
OTU_10,OTU_24,0.99
OTU_11,OTU_24,0.99
OTU_12,OTU_24,0.99
OTU_13,OTU_24,0.99
OTU_14,OTU_24,0.99
OTU_15,OTU_24,0.99
OTU_16,OTU_24,0.99
OTU_17,OTU_24,0.99
OTU_18,OTU_24,0.99
OTU_19,OTU_24,0.99
OTU_20,OTU_24,0.99
OTU_21,OTU_24,0.99
OTU_22,OTU_24,0.99
OTU_23,OTU_24,0.99
OTU_24,OTU_24,0
OTU_25,OTU_24,0.99
OTU_26,OTU_24,0.99
OTU_27,OTU_24,0.99
OTU_28,OTU_24,0.99
OTU_29,OTU_24,0.99
OTU_30,OTU_24,0.99
OTU_31,OTU_24,0.99
OTU_32,OTU_24,0.99
OTU_33,OTU_24,0.99
OTU_34,OTU_24,0.9803110475509476
OTU_35,OTU_24,0.99
OTU_36,OTU_24,0.99
OTU_37,OTU_24,0.99
OTU_38,OTU_24,0.99
OTU_39,OTU_24,0.99
OTU_40,OTU_24,0.99
OTU_41,OTU_24,0.99
OTU_42,OTU_24,0.99
OTU_43,OTU_24,0.99
OTU_44,OTU_24,0
OTU_45,OTU_24,0.99
OTU_46,OTU_24,0
OTU_47,OTU_24,0.99
OTU_48,OTU_24,0.99
OTU_49,OTU_24,0.99
OTU_50,OTU_24,0.45485053581500284
OTU_51,OTU_24,0.99
OTU_52,OTU_24,0.99
OTU_53,OTU_24,0.99
OTU_54,OTU_24,0.99
OTU_55,OTU_24,0.99
OTU_56,OTU_24,0.99
OTU_57,OTU_24,0.99
OTU_58,OTU_24,0.99
OTU_59,OTU_24,0.99
OTU_60,OTU_24,0.91468809073724
OTU_61,OTU_24,0.99
OTU_62,OTU_24,0.99
OTU_63,OTU_24,0.99
OTU_64,OTU_24,0.99
OTU_65,OTU_24,0.99
OTU_66,OTU_24,0.99
OTU_67,OTU_24,0.99
OTU_68,OTU_24,0.99
OTU_69,OTU_24,0.99
OTU_70,OTU_24,0.99
OTU_71,OTU_24,0.99
OTU_72,OTU_24,0.99
OTU_73,OTU_24,0.99
OTU_74,OTU_24,0.99
OTU_75,OTU_24,0.99
OTU_76,OTU_24,0
OTU_77,OTU_24,0.99
OTU_78,OTU_24,0.99
OTU_79,OTU_24,0.99
OTU_80,OTU_24,0.99
OTU_81,OTU_24,0.99
OTU_82,OTU_24,0.6818271488961953
OTU_83,OTU_24,0.99
OTU_84,OTU_24,0.6260650169820475
OTU_85,OTU_24,0.99
OTU_86,OTU_24,0.99
OTU_87,OTU_24,0.99
OTU_88,OTU_24,0.99
OTU_89,OTU_24,0.99
OTU_90,OTU_24,0
OTU_91,OTU_24,0.99
OTU_92,OTU_24,0.99
OTU_93,OTU_24,0.99
OTU_94,OTU_24,0.99
OTU_95,OTU_24,0.99
OTU_96,OTU_24,0.99
OTU_97,OTU_24,0.99
OTU_98,OTU_24,0.9803110475509476
OTU_99,OTU_24,0.99
OTU_100,OTU_24,0.99
OTU_101,OTU_24,0.99
OTU_102,OTU_24,0.99
OTU_103,OTU_24,0.45485053581500284
OTU_104,OTU_24,0.91468809073724
OTU_105,OTU_24,0.99
OTU_106,OTU_24,0.99
OTU_107,OTU_24,0.99
OTU_108,OTU_24,0.99
OTU_109,OTU_24,0.99
OTU_110,OTU_24,0.99
OTU_111,OTU_24,0.99
OTU_112,OTU_24,0.99
OTU_113,OTU_24,0.99
OTU_114,OTU_24,0.99
OTU_115,OTU_24,0.99
OTU_116,OTU_24,0.11798829553767375
OTU_117,OTU_24,0.99
OTU_118,OTU_24,0.99
OTU_119,OTU_24,0.91468809073724
OTU_120,OTU_24,0.99
OTU_121,OTU_24,0.99
OTU_122,OTU_24,0.99
OTU_123,OTU_24,0.99
OTU_124,OTU_24,0.99
OTU_125,OTU_24,0.99
OTU_126,OTU_24,0.99
OTU_127,OTU_24,0.99
OTU_1,OTU_25,0.99
OTU_2,OTU_25,0.99
OTU_3,OTU_25,0.99
OTU_4,OTU_25,0.99
OTU_5,OTU_25,0
OTU_6,OTU_25,0.99
OTU_7,OTU_25,0.99
OTU_8,OTU_25,0.99
OTU_9,OTU_25,0.99
OTU_10,OTU_25,0.99
OTU_11,OTU_25,0.99
OTU_12,OTU_25,0.99
OTU_13,OTU_25,0.99
OTU_14,OTU_25,0.99
OTU_15,OTU_25,0.99
OTU_16,OTU_25,0.99
OTU_17,OTU_25,0.99
OTU_18,OTU_25,0.99
OTU_19,OTU_25,0.99
OTU_20,OTU_25,0.99
OTU_21,OTU_25,0.99
OTU_22,OTU_25,0.99
OTU_23,OTU_25,0.99
OTU_24,OTU_25,0.99
OTU_25,OTU_25,0
OTU_26,OTU_25,0.99
OTU_27,OTU_25,0.99
OTU_28,OTU_25,0.99
OTU_29,OTU_25,0.99
OTU_30,OTU_25,0.99
OTU_31,OTU_25,0.99
OTU_32,OTU_25,0.99
OTU_33,OTU_25,0.99
OTU_34,OTU_25,0.99
OTU_35,OTU_25,0.99
OTU_36,OTU_25,0.99
OTU_37,OTU_25,0.99
OTU_38,OTU_25,0.99
OTU_39,OTU_25,0.99
OTU_40,OTU_25,0.99
OTU_41,OTU_25,0.99
OTU_42,OTU_25,0.99
OTU_43,OTU_25,0.99
OTU_44,OTU_25,0
OTU_45,OTU_25,0.99
OTU_46,OTU_25,0
OTU_47,OTU_25,0.99
OTU_48,OTU_25,0.99
OTU_49,OTU_25,0.99
OTU_50,OTU_25,0.99
OTU_51,OTU_25,0.99
OTU_52,OTU_25,0.99
OTU_53,OTU_25,0.99
OTU_54,OTU_25,0.99
OTU_55,OTU_25,0.99
OTU_56,OTU_25,0.99
OTU_57,OTU_25,0.99
OTU_58,OTU_25,0.99
OTU_59,OTU_25,0.99
OTU_60,OTU_25,0.99
OTU_61,OTU_25,0.99
OTU_62,OTU_25,0.99
OTU_63,OTU_25,0.99
OTU_64,OTU_25,0.99
OTU_65,OTU_25,0.99
OTU_66,OTU_25,0.99
OTU_67,OTU_25,0.99
OTU_68,OTU_25,0.99
OTU_69,OTU_25,0.99
OTU_70,OTU_25,0.99
OTU_71,OTU_25,0.99
OTU_72,OTU_25,0.99
OTU_73,OTU_25,0.99
OTU_74,OTU_25,0.99
OTU_75,OTU_25,0.99
OTU_76,OTU_25,0
OTU_77,OTU_25,0.99
OTU_78,OTU_25,0.99
OTU_79,OTU_25,0.99
OTU_80,OTU_25,0.99
OTU_81,OTU_25,0.99
OTU_82,OTU_25,0.99
OTU_83,OTU_25,0.99
OTU_84,OTU_25,0.9554387263976305
OTU_85,OTU_25,0.99
OTU_86,OTU_25,0.99
OTU_87,OTU_25,0.99
OTU_88,OTU_25,0.99
OTU_89,OTU_25,0.99
OTU_90,OTU_25,0.11798829553767375
OTU_91,OTU_25,0.99
OTU_92,OTU_25,0.99
OTU_93,OTU_25,0.99
OTU_94,OTU_25,0.99
OTU_95,OTU_25,0.99
OTU_96,OTU_25,0.99
OTU_97,OTU_25,0.99
OTU_98,OTU_25,0.99
OTU_99,OTU_25,0.99
OTU_100,OTU_25,0.99
OTU_101,OTU_25,0.99
OTU_102,OTU_25,0.99
OTU_103,OTU_25,0.884473168820995
OTU_104,OTU_25,0.99
OTU_105,OTU_25,0.99
OTU_106,OTU_25,0.99
OTU_107,OTU_25,0.99
OTU_108,OTU_25,0.99
OTU_109,OTU_25,0.99
OTU_110,OTU_25,0.99
OTU_111,OTU_25,0.99
OTU_112,OTU_25,0.99
OTU_113,OTU_25,0.99
OTU_114,OTU_25,0.99
OTU_115,OTU_25,0.99
OTU_116,OTU_25,0.2163514419852448
OTU_117,OTU_25,0.99
OTU_118,OTU_25,0.99
OTU_119,OTU_25,0.99
OTU_120,OTU_25,0.99
OTU_121,OTU_25,0.99
OTU_122,OTU_25,0.99
OTU_123,OTU_25,0.99
OTU_124,OTU_25,0.99
OTU_125,OTU_25,0.99
OTU_126,OTU_25,0.99
OTU_127,OTU_25,0.99
OTU_1,OTU_26,0.99
OTU_2,OTU_26,0.99
OTU_3,OTU_26,0.99
OTU_4,OTU_26,0.99
OTU_5,OTU_26,0
OTU_6,OTU_26,0.99
OTU_7,OTU_26,0.99
OTU_8,OTU_26,0.99
OTU_9,OTU_26,0.99
OTU_10,OTU_26,0.99
OTU_11,OTU_26,0.99
OTU_12,OTU_26,0.99
OTU_13,OTU_26,0.99
OTU_14,OTU_26,0.99
OTU_15,OTU_26,0.99
OTU_16,OTU_26,0.99
OTU_17,OTU_26,0.99
OTU_18,OTU_26,0.99
OTU_19,OTU_26,0.99
OTU_20,OTU_26,0.99
OTU_21,OTU_26,0.99
OTU_22,OTU_26,0.99
OTU_23,OTU_26,0.99
OTU_24,OTU_26,0.99
OTU_25,OTU_26,0.99
OTU_26,OTU_26,0
OTU_27,OTU_26,0.99
OTU_28,OTU_26,0.99
OTU_29,OTU_26,0.99
OTU_30,OTU_26,0.99
OTU_31,OTU_26,0.99
OTU_32,OTU_26,0.99
OTU_33,OTU_26,0.99
OTU_34,OTU_26,0.99
OTU_35,OTU_26,0.99
OTU_36,OTU_26,0.99
OTU_37,OTU_26,0.99
OTU_38,OTU_26,0.99
OTU_39,OTU_26,0.99
OTU_40,OTU_26,0.99
OTU_41,OTU_26,0.99
OTU_42,OTU_26,0.99
OTU_43,OTU_26,0.99
OTU_44,OTU_26,0
OTU_45,OTU_26,0.99
OTU_46,OTU_26,0
OTU_47,OTU_26,0.99
OTU_48,OTU_26,0.99
OTU_49,OTU_26,0.99
OTU_50,OTU_26,0.45485053581500284
OTU_51,OTU_26,0.99
OTU_52,OTU_26,0.99
OTU_53,OTU_26,0.99
OTU_54,OTU_26,0.99
OTU_55,OTU_26,0.99
OTU_56,OTU_26,0.99
OTU_57,OTU_26,0.99
OTU_58,OTU_26,0.99
OTU_59,OTU_26,0.99
OTU_60,OTU_26,0.9803110475509476
OTU_61,OTU_26,0.99
OTU_62,OTU_26,0.99
OTU_63,OTU_26,0.99
OTU_64,OTU_26,0.99
OTU_65,OTU_26,0.99
OTU_66,OTU_26,0.99
OTU_67,OTU_26,0.99
OTU_68,OTU_26,0.99
OTU_69,OTU_26,0.99
OTU_70,OTU_26,0.99
OTU_71,OTU_26,0.99
OTU_72,OTU_26,0.99
OTU_73,OTU_26,0.99
OTU_74,OTU_26,0.99
OTU_75,OTU_26,0.99
OTU_76,OTU_26,0
OTU_77,OTU_26,0.99
OTU_78,OTU_26,0.99
OTU_79,OTU_26,0.99
OTU_80,OTU_26,0.99
OTU_81,OTU_26,0.99
OTU_82,OTU_26,0.99
OTU_83,OTU_26,0.99
OTU_84,OTU_26,0.99
OTU_85,OTU_26,0.99
OTU_86,OTU_26,0.99
OTU_87,OTU_26,0.99
OTU_88,OTU_26,0.99
OTU_89,OTU_26,0.99
OTU_90,OTU_26,0
OTU_91,OTU_26,0.99
OTU_92,OTU_26,0.99
OTU_93,OTU_26,0.99
OTU_94,OTU_26,0.99
OTU_95,OTU_26,0.99
OTU_96,OTU_26,0.99
OTU_97,OTU_26,0.99
OTU_98,OTU_26,0.99
OTU_99,OTU_26,0.99
OTU_100,OTU_26,0.99
OTU_101,OTU_26,0.99
OTU_102,OTU_26,0.99
OTU_103,OTU_26,0.45485053581500284
OTU_104,OTU_26,0.5775089514066496
OTU_105,OTU_26,0.99
OTU_106,OTU_26,0.99
OTU_107,OTU_26,0.99
OTU_108,OTU_26,0.99
OTU_109,OTU_26,0.99
OTU_110,OTU_26,0.99
OTU_111,OTU_26,0.99
OTU_112,OTU_26,0.99
OTU_113,OTU_26,0.99
OTU_114,OTU_26,0.99
OTU_115,OTU_26,0.99
OTU_116,OTU_26,0
OTU_117,OTU_26,0.99
OTU_118,OTU_26,0.99
OTU_119,OTU_26,0.99
OTU_120,OTU_26,0.99
OTU_121,OTU_26,0.99
OTU_122,OTU_26,0.99
OTU_123,OTU_26,0.99
OTU_124,OTU_26,0.99
OTU_125,OTU_26,0.99
OTU_126,OTU_26,0.99
OTU_127,OTU_26,0.99
OTU_1,OTU_27,0.99
OTU_2,OTU_27,0.99
OTU_3,OTU_27,0.99
OTU_4,OTU_27,0.99
OTU_5,OTU_27,0.11798829553767375
OTU_6,OTU_27,0.99
OTU_7,OTU_27,0.99
OTU_8,OTU_27,0.99
OTU_9,OTU_27,0.99
OTU_10,OTU_27,0.99
OTU_11,OTU_27,0.99
OTU_12,OTU_27,0.99
OTU_13,OTU_27,0.99
OTU_14,OTU_27,0.99
OTU_15,OTU_27,0.99
OTU_16,OTU_27,0.99
OTU_17,OTU_27,0.99
OTU_18,OTU_27,0.99
OTU_19,OTU_27,0.99
OTU_20,OTU_27,0.99
OTU_21,OTU_27,0.99
OTU_22,OTU_27,0.99
OTU_23,OTU_27,0.99
OTU_24,OTU_27,0.99
OTU_25,OTU_27,0.99
OTU_26,OTU_27,0.99
OTU_27,OTU_27,0
OTU_28,OTU_27,0.99
OTU_29,OTU_27,0.99
OTU_30,OTU_27,0.99
OTU_31,OTU_27,0.99
OTU_32,OTU_27,0.99
OTU_33,OTU_27,0.99
OTU_34,OTU_27,0.5775089514066496
OTU_35,OTU_27,0.99
OTU_36,OTU_27,0.99
OTU_37,OTU_27,0.99
OTU_38,OTU_27,0.99
OTU_39,OTU_27,0.99
OTU_40,OTU_27,0.99
OTU_41,OTU_27,0.99
OTU_42,OTU_27,0.99
OTU_43,OTU_27,0.99
OTU_44,OTU_27,0
OTU_45,OTU_27,0.99
OTU_46,OTU_27,0.2163514419852448
OTU_47,OTU_27,0.99
OTU_48,OTU_27,0.99
OTU_49,OTU_27,0.99
OTU_50,OTU_27,0.6260650169820475
OTU_51,OTU_27,0.99
OTU_52,OTU_27,0.99
OTU_53,OTU_27,0.99
OTU_54,OTU_27,0.99
OTU_55,OTU_27,0.99
OTU_56,OTU_27,0.99
OTU_57,OTU_27,0.99
OTU_58,OTU_27,0.99
OTU_59,OTU_27,0.99
OTU_60,OTU_27,0.6818271488961953
OTU_61,OTU_27,0.99
OTU_62,OTU_27,0.99
OTU_63,OTU_27,0.99
OTU_64,OTU_27,0.99
OTU_65,OTU_27,0.99
OTU_66,OTU_27,0.99
OTU_67,OTU_27,0.99
OTU_68,OTU_27,0.99
OTU_69,OTU_27,0.99
OTU_70,OTU_27,0.99
OTU_71,OTU_27,0.99
OTU_72,OTU_27,0.99
OTU_73,OTU_27,0.99
OTU_74,OTU_27,0.99
OTU_75,OTU_27,0.99
OTU_76,OTU_27,0
OTU_77,OTU_27,0.99
OTU_78,OTU_27,0.99
OTU_79,OTU_27,0.99
OTU_80,OTU_27,0.99
OTU_81,OTU_27,0.99
OTU_82,OTU_27,0.99
OTU_83,OTU_27,0.99
OTU_84,OTU_27,0.91468809073724
OTU_85,OTU_27,0.99
OTU_86,OTU_27,0.99
OTU_87,OTU_27,0.99
OTU_88,OTU_27,0.99
OTU_89,OTU_27,0.99
OTU_90,OTU_27,0.11798829553767375
OTU_91,OTU_27,0.99
OTU_92,OTU_27,0.99
OTU_93,OTU_27,0.99
OTU_94,OTU_27,0.99
OTU_95,OTU_27,0.99
OTU_96,OTU_27,0.99
OTU_97,OTU_27,0.99
OTU_98,OTU_27,0.99
OTU_99,OTU_27,0.99
OTU_100,OTU_27,0.99
OTU_101,OTU_27,0.99
OTU_102,OTU_27,0.99
OTU_103,OTU_27,0.99
OTU_104,OTU_27,0.91468809073724
OTU_105,OTU_27,0.99
OTU_106,OTU_27,0.99
OTU_107,OTU_27,0.99
OTU_108,OTU_27,0.99
OTU_109,OTU_27,0.99
OTU_110,OTU_27,0.99
OTU_111,OTU_27,0.99
OTU_112,OTU_27,0.99
OTU_113,OTU_27,0.99
OTU_114,OTU_27,0.99
OTU_115,OTU_27,0.99
OTU_116,OTU_27,0.11798829553767375
OTU_117,OTU_27,0.99
OTU_118,OTU_27,0.99
OTU_119,OTU_27,0.99
OTU_120,OTU_27,0.99
